time,seconds_elapsed,z,y,x
1772698613856621000,0.08062109375,0,0,0
1772698613866621000,0.090620849609375,-0.09427118301391602,-0.13191509246826172,0.19900250434875488
1772698613876621000,0.10062109375,-0.7242860794067383,-0.4788651466369629,0.5200973749160767
1772698613886621000,0.110620849609375,-1.402158260345459,-1.4334330558776855,0.29819583892822266
1772698613896621000,0.12062109375,-1.9003691673278809,-2.0746798515319824,-0.17659783363342285
1772698613906621000,0.130620849609375,-2.1790995597839355,-1.9750185012817383,0.1834399700164795
1772698613916621000,0.14062109375,-1.1059575080871582,-1.1107497215270996,0.42791277170181274
1772698613926621000,0.150620849609375,0.14745521545410156,-1.0390501022338867,-0.3067820072174072
1772698613936621000,0.16062109375,0.9625415802001953,-0.7399458885192871,-0.7986162900924683
1772698613946621000,0.170620849609375,0.8043856620788574,-0.05406808853149414,-0.7598249912261963
1772698613956621000,0.18062109375,0.1175384521484375,0.3353404998779297,-1.2527250051498413
1772698613966621000,0.190620849609375,0.06641530990600586,1.6896986961364746,-2.263810634613037
1772698613976621000,0.20062109375,0.2958812713623047,3.4532971382141113,-3.806516647338867
1772698613986621000,0.210620849609375,-0.1970381736755371,4.851388931274414,-4.383906364440918
1772698613996621000,0.22062109375,-0.6854825019836426,4.0684709548950195,-3.5656230449676514
1772698614006621000,0.230620849609375,-1.375180721282959,1.7286834716796875,-1.5927751064300537
1772698614016621000,0.24062109375,-1.287576675415039,-0.013268470764160156,-0.18013215065002441
1772698614026621000,0.250620849609375,-0.2864241600036621,-0.5733637809753418,0.3237338066101074
1772698614036621000,0.26062109375,0.981865406036377,-1.524940013885498,0.770884096622467
1772698614046621000,0.270620849609375,0.4961967468261719,-2.338805675506592,1.4751338958740234
1772698614056621000,0.28062109375,0.18415403366088867,-2.193154811859131,1.3976330757141113
1772698614066621000,0.290620849609375,0.1002354621887207,-2.3787460327148438,0.9469375610351562
1772698614076621000,0.30062109375,-0.5012421607971191,-2.749022960662842,0.2551814615726471
1772698614086621000,0.310620849609375,-1.0001282691955566,-3.051314353942871,-0.3954453468322754
1772698614096621000,0.32062109375,-1.5899724960327148,-3.433645248413086,-0.6389209628105164
1772698614106621000,0.330620849609375,-3.143221855163574,-3.2363173961639404,-0.24653005599975586
1772698614116621000,0.34062109375,-3.720710277557373,-3.280043601989746,0.023633122444152832
1772698614126621000,0.350620849609375,-3.6353347301483154,-4.310882091522217,-0.21589219570159912
1772698614136621000,0.36062109375,-3.9477128982543945,-4.735872268676758,-0.3498455286026001
1772698614146621000,0.370620849609375,-4.134096622467041,-4.798506736755371,-0.4077122211456299
1772698614156621000,0.38062109375,-4.558018684387207,-4.8262176513671875,-0.3609952926635742
1772698614166621000,0.390620849609375,-5.092137336730957,-5.049756050109863,-0.16506052017211914
1772698614176621000,0.40062109375,-5.075594425201416,-5.407549858093262,-0.01289510726928711
1772698614186621000,0.410620849609375,-4.511016368865967,-5.606886863708496,0.19383883476257324
1772698614196621000,0.42062109375,-3.355081081390381,-5.7173004150390625,0.4443042278289795
1772698614206621000,0.430620849609375,-2.1508936882019043,-5.791350364685059,0.6984000205993652
1772698614216621000,0.44062109375,-1.0342483520507812,-5.982107162475586,0.9752333164215088
1772698614226621000,0.450620849609375,-0.06073427200317383,-6.116363048553467,1.1634910106658936
1772698614236621000,0.46062109375,0.3821885585784912,-5.8639020919799805,1.2890138626098633
1772698614246621000,0.470620849609375,0.255035400390625,-5.255858898162842,1.4755592346191406
1772698614256621000,0.48062109375,-0.13553810119628906,-4.906859874725342,2.0551114082336426
1772698614266621000,0.490620849609375,-0.5979924201965332,-4.909132957458496,2.9910354614257812
1772698614276621000,0.50062109375,-0.5774152278900146,-4.859883785247803,3.8625636100769043
1772698614286621000,0.510620849609375,0.24570512771606445,-5.0048675537109375,4.532160758972168
1772698614296621000,0.52062109375,1.8386952877044678,-5.246747016906738,5.123660087585449
1772698614306621000,0.530620849609375,3.4866459369659424,-5.114875316619873,5.3758463859558105
1772698614316621000,0.54062109375,4.65308952331543,-4.6519622802734375,5.544460296630859
1772698614326621000,0.550620849609375,5.6544694900512695,-4.017186164855957,6.050757884979248
1772698614336621000,0.56062109375,5.3481903076171875,-3.8997583389282227,6.768038272857666
1772698614346621000,0.570620849609375,4.975090026855469,-3.862738847732544,7.420090198516846
1772698614356621000,0.58062109375,5.543778419494629,-3.6479244232177734,7.875073432922363
1772698614366621000,0.590620849609375,6.568005561828613,-3.8006834983825684,8.28240966796875
1772698614376621000,0.60062109375,7.948198318481445,-3.826465606689453,8.417505264282227
1772698614386621000,0.610620849609375,8.804417610168457,-3.548708438873291,8.690462112426758
1772698614396621000,0.62062109375,8.969460487365723,-3.227421760559082,9.46304702758789
1772698614406621000,0.630620849609375,8.598411560058594,-3.386557102203369,10.251619338989258
1772698614416621000,0.64062109375,7.909672737121582,-3.4129629135131836,10.551441192626953
1772698614426621000,0.650620849609375,8.067219734191895,-2.8248519897460938,10.528116226196289
1772698614436621000,0.66062109375,8.81427001953125,-2.3423609733581543,10.411619186401367
1772698614446621000,0.670620849609375,9.553674697875977,-2.217263698577881,9.965239524841309
1772698614456621000,0.68062109375,10.453734397888184,-2.1359267234802246,9.552733421325684
1772698614466621000,0.690620849609375,11.388165473937988,-2.0620765686035156,9.214195251464844
1772698614476621000,0.70062109375,11.731731414794922,-1.554208755493164,8.855330467224121
1772698614486621000,0.710620849609375,11.301798820495605,-1.3772621154785156,8.56181812286377
1772698614496621000,0.72062109375,10.530054092407227,-0.9546365737915039,7.832369804382324
1772698614506621000,0.730620849609375,8.598782539367676,-0.9091787338256836,7.259579658508301
1772698614516621000,0.74062109375,7.143379211425781,-0.6218976974487305,6.722867965698242
1772698614526621000,0.750620849609375,5.631049633026123,-0.4942893981933594,6.571909427642822
1772698614536621000,0.76062109375,4.7351460456848145,-0.515772819519043,6.560380935668945
1772698614546621000,0.770620849609375,4.689504623413086,-0.15782451629638672,6.070051670074463
1772698614556621000,0.78062109375,4.5572004318237305,0.19057083129882812,5.4146575927734375
1772698614566621000,0.790620849609375,4.442351341247559,0.4249734878540039,5.179293632507324
1772698614576621000,0.80062109375,4.003048896789551,0.14316749572753906,4.91231107711792
1772698614586621000,0.810620849609375,3.325385332107544,0.08080101013183594,4.258608818054199
1772698614596621000,0.82062109375,2.2325503826141357,-0.12726497650146484,3.0739173889160156
1772698614606621000,0.830620849609375,2.5388479232788086,0.1775503158569336,1.87567937374115
1772698614616621000,0.84062109375,1.9933836460113525,-0.14385986328125,1.2520688772201538
1772698614626621000,0.850620849609375,1.4519119262695312,-0.09284591674804688,0.9273641705513
1772698614636621000,0.86062109375,0.9024786949157715,0.18954086303710938,0.7732462286949158
1772698614646621000,0.870620849609375,0.26557397842407227,0.39855384826660156,0.7049490213394165
1772698614656621000,0.88062109375,-0.3257753849029541,0.5877323150634766,0.9633278250694275
1772698614666621000,0.890620849609375,-0.8159441947937012,0.6571779251098633,1.4143677949905396
1772698614676621000,0.90062109375,-1.1169300079345703,1.1451225280761719,2.119173049926758
1772698614686621000,0.910620849609375,-2.4272079467773438,1.542635440826416,2.897226333618164
1772698614696621000,0.92062109375,-3.422301769256592,2.030569076538086,3.3082480430603027
1772698614706621000,0.930620849609375,-4.312991142272949,2.4343247413635254,3.4186437129974365
1772698614716621000,0.94062109375,-4.468725204467773,2.3655214309692383,3.0644636154174805
1772698614726621000,0.950620849609375,-4.477209568023682,1.5765738487243652,2.246772050857544
1772698614736621000,0.96062109375,-4.012127876281738,0.8028459548950195,1.151992678642273
1772698614746621000,0.970620849609375,-3.1402714252471924,0.6609334945678711,-0.5401635766029358
1772698614756621000,0.98062109375,-2.287926197052002,0.36252498626708984,-1.8637440204620361
1772698614766621000,0.990620849609375,-1.873875379562378,-0.24683284759521484,-2.5269417762756348
1772698614776621000,1.00062109375,-1.6285037994384766,-0.41631221771240234,-2.795614004135132
1772698614786621000,1.010620849609375,-1.437936782836914,0.05086517333984375,-2.881812572479248
1772698614796621000,1.02062109375,-1.763214349746704,0.7737188339233398,-2.9518394470214844
1772698614806621000,1.030620849609375,-2.3131422996520996,1.0667495727539062,-2.978633403778076
1772698614816621000,1.04062109375,-2.4985461235046387,0.3472747802734375,-2.791144847869873
1772698614826621000,1.050620849609375,-2.0416102409362793,-0.5370655059814453,-2.792891025543213
1772698614836621000,1.06062109375,-1.379032850265503,-0.7266120910644531,-3.1209373474121094
1772698614846621000,1.070620849609375,-0.5329132080078125,-0.5736055374145508,-3.179126262664795
1772698614856621000,1.08062109375,-0.005459785461425781,-0.42943477630615234,-2.678009510040283
