time,seconds_elapsed,z,y,x
1772698613861249800,0.085249755859375,-0.4251618981361389,0.720820426940918,1.0079269409179688
1772698613878592500,0.102592529296875,-0.48991355299949646,1.2363903522491455,0.5626064538955688
1772698613895938800,0.119938720703125,-0.40255987644195557,1.36772620677948,-0.14233149588108063
1772698613913285400,0.137285400390625,-0.3023780584335327,1.247385859489441,-0.8442151546478271
1772698613930631700,0.154631591796875,-0.268169641494751,0.08674279600381851,-0.9975422024726868
1772698613947978000,0.17197802734375,0.14782927930355072,-1.8759657144546509,-0.8155044913291931
1772698613965324300,0.18932421875,0.5809323787689209,-3.0378305912017822,-0.3481929302215576
1772698613982670600,0.206670654296875,0.7244856357574463,-3.0164501667022705,0.38240134716033936
1772698614000017000,0.224016845703125,0.3042106628417969,-1.5167772769927979,0.7079922556877136
1772698614017363500,0.241363525390625,0.5241219997406006,-0.8649845123291016,0.3952295184135437
1772698614034709800,0.258709716796875,1.3005311489105225,-1.5008947849273682,-0.2675587832927704
1772698614052056000,0.27605615234375,1.4398082494735718,-2.3457207679748535,-0.5381718873977661
1772698614069402400,0.29340234375,1.6071852445602417,-2.6560399532318115,-0.3799578845500946
1772698614086748700,0.310748779296875,2.1135921478271484,-2.979187488555908,-0.1130099818110466
1772698614104095200,0.32809521484375,2.3463315963745117,-3.6810710430145264,-0.08429934084415436
1772698614121441500,0.345441650390625,2.450178623199463,-3.3884668350219727,-0.29565855860710144
1772698614138787800,0.362787841796875,2.604116439819336,-3.3292131423950195,-0.401949018239975
1772698614156134100,0.380134033203125,3.0421066284179688,-3.467268466949463,-0.5992583632469177
1772698614173480400,0.39748046875,3.5112507343292236,-3.1135778427124023,-1.1679733991622925
1772698614190826800,0.41482666015625,3.7757551670074463,-2.29624080657959,-1.9193371534347534
1772698614208173000,0.432173095703125,3.962069034576416,-1.6682716608047485,-2.5021021366119385
1772698614225519600,0.44951953125,3.9883360862731934,-1.5320488214492798,-2.7348415851593018
1772698614242866000,0.466865966796875,4.0530877113342285,-1.944993495941162,-2.6090035438537598
1772698614260212200,0.484212158203125,4.494132041931152,-2.3145666122436523,-2.5216498374938965
1772698614277558500,0.50155859375,4.812392711639404,-2.1838417053222656,-3.0659303665161133
1772698614294904800,0.51890478515625,4.868592262268066,-1.6279546022415161,-3.637699842453003
1772698614312251100,0.536251220703125,4.794066905975342,-1.3836086988449097,-3.6780169010162354
1772698614329597700,0.55359765625,4.659676551818848,-1.7091996669769287,-3.190546751022339
