time,seconds_elapsed,z,y,x
1772727582931610400,0.0846103515625,3.3370213508605957,8.97109317779541,2.1340460777282715
1772727582941610500,0.094610595703125,3.1968514919281006,9.03275203704834,2.0880424976348877
1772727582951610400,0.1046103515625,3.1688897609710693,9.03060245513916,2.139333963394165
1772727582961610500,0.114610595703125,3.0893867015838623,9.052062034606934,2.1647751331329346
1772727582971610400,0.1246103515625,3.0195066928863525,9.076930046081543,2.1592376232147217
1772727582981610500,0.134610595703125,2.9672000408172607,9.103324890136719,2.1202845573425293
1772727582991610400,0.1446103515625,2.8989322185516357,9.147601127624512,2.0218682289123535
1772727583001610500,0.154610595703125,2.826131582260132,9.19812297821045,1.891534686088562
1772727583011610400,0.1646103515625,2.756192684173584,9.248828887939453,1.7415392398834229
1772727583021610500,0.174610595703125,2.6907219886779785,9.292856216430664,1.604126214981079
1772727583031610400,0.1846103515625,2.6375277042388916,9.329442024230957,1.4748977422714233
1772727583041610500,0.194610595703125,2.6168344020843506,9.353245735168457,1.35623037815094
1772727583051610400,0.2046103515625,2.601573944091797,9.372713088989258,1.2467780113220215
1772727583061610500,0.214610595703125,2.5828943252563477,9.391204833984375,1.1420772075653076
1772727583071610400,0.2246103515625,2.5540683269500732,9.411704063415527,1.0329416990280151
1772727583081610500,0.234610595703125,2.5061733722686768,9.4359769821167,0.9229410290718079
1772727583091610400,0.2446103515625,2.445767879486084,9.46198558807373,0.8120558857917786
1772727583101610500,0.254610595703125,2.3545351028442383,9.493840217590332,0.7025274634361267
1772727583111610400,0.2646103515625,2.2446181774139404,9.526823043823242,0.6096984148025513
1772727583121610500,0.274610595703125,2.124565839767456,9.558445930480957,0.5410405397415161
1772727583131610400,0.2846103515625,2.0053277015686035,9.586492538452148,0.49819356203079224
1772727583141610500,0.294610595703125,1.8929872512817383,9.610323905944824,0.4781871438026428
1772727583151610400,0.3046103515625,1.7882657051086426,9.630473136901855,0.4759069085121155
1772727583161610500,0.314610595703125,1.6840565204620361,9.649328231811523,0.47413381934165955
1772727583171610400,0.3246103515625,1.5868418216705322,9.665726661682129,0.475436270236969
1772727583181610500,0.334610595703125,1.5022200345993042,9.678956031799316,0.4811730682849884
