time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1772727582941610500,0.094610595703125,-0.2587880492210388,-0.3037327527999878,0.4947245121002197,0.7720251083374023,-0.5785905122756958,-1.1708561182022095,0.2572263777256012
1772727582951610400,0.1046103515625,-0.2546437382698059,-0.30458682775497437,0.495639443397522,0.772479772567749,-0.5938220024108887,-1.1702938079833984,0.23685362935066223
1772727582961610500,0.114610595703125,-0.24859924614429474,-0.3040595054626465,0.5000329613685608,0.7718246579170227,-0.6112047433853149,-1.1759443283081055,0.2086229771375656
1772727582971610400,0.1246103515625,-0.25231796503067017,-0.3079034984111786,0.50124192237854,0.768301784992218,-0.6207859516143799,-1.1825895309448242,0.21036793291568756
1772727582981610500,0.134610595703125,-0.2555033564567566,-0.30914920568466187,0.5031318664550781,0.7655084133148193,-0.6204405426979065,-1.1897625923156738,0.21707740426063538
1772727582991610400,0.1446103515625,-0.2619650661945343,-0.3097119629383087,0.5062351822853088,0.7610379457473755,-0.6090144515037537,-1.2020939588546753,0.238535538315773
1772727583001610500,0.154610595703125,-0.2712792754173279,-0.3106175661087036,0.5093369483947754,0.7553145885467529,-0.5898246765136719,-1.2166632413864136,0.2726579010486603
1772727583011610400,0.1646103515625,-0.28443920612335205,-0.3131088316440582,0.5113082528114319,0.7480782270431519,-0.5635200142860413,-1.2318874597549438,0.32252049446105957
1772727583021610500,0.174610595703125,-0.29590311646461487,-0.3151892125606537,0.5132904648780823,0.7413703203201294,-0.537598192691803,-1.2456612586975098,0.3688824474811554
1772727583031610400,0.1846103515625,-0.3101390302181244,-0.3194691836833954,0.5132864117622375,0.7336826920509338,-0.5098767876625061,-1.257550597190857,0.4252603054046631
1772727583041610500,0.194610595703125,-0.3266657888889313,-0.3251638114452362,0.5107318758964539,0.7257484793663025,-0.478157639503479,-1.265525221824646,0.49212828278541565
1772727583051610400,0.2046103515625,-0.34422436356544495,-0.3320629596710205,0.5070412755012512,0.7170445919036865,-0.44690215587615967,-1.2722011804580688,0.5625940561294556
1772727583061610500,0.214610595703125,-0.36287039518356323,-0.3402363359928131,0.5025418400764465,0.7071180939674377,-0.41632306575775146,-1.2786788940429688,0.63670414686203
1772727583071610400,0.2246103515625,-0.38005542755126953,-0.3476260006427765,0.4989337921142578,0.6969785690307617,-0.3843195140361786,-1.2860275506973267,0.7089345455169678
1772727583081610500,0.234610595703125,-0.39900335669517517,-0.3570881485939026,0.4946804642677307,0.6845258474349976,-0.35285478830337524,-1.29497492313385,0.7874547839164734
1772727583091610400,0.2446103515625,-0.416434109210968,-0.3661165237426758,0.49118146300315857,0.6717753410339355,-0.32057255506515503,-1.3048871755599976,0.8640350103378296
1772727583101610500,0.254610595703125,-0.4318746328353882,-0.3751867115497589,0.48906752467155457,0.6584315896034241,-0.28996264934539795,-1.3175424337387085,0.9359415173530579
1772727583111610400,0.2646103515625,-0.4442236125469208,-0.3838439881801605,0.4880779981613159,0.6458398103713989,-0.265227347612381,-1.3313335180282593,0.9962821006774902
1772727583121610500,0.274610595703125,-0.453849732875824,-0.39235588908195496,0.487579882144928,0.6343052387237549,-0.2493591606616974,-1.345331072807312,1.043099045753479
1772727583131610400,0.2846103515625,-0.4617427587509155,-0.40105319023132324,0.4867371916770935,0.6237282156944275,-0.24350516498088837,-1.358502984046936,1.0775713920593262
1772727583141610500,0.294610595703125,-0.4701400101184845,-0.4112277328968048,0.48412424325942993,0.6127673983573914,-0.247433602809906,-1.3703627586364746,1.1063265800476074
1772727583151610400,0.3046103515625,-0.47690367698669434,-0.42085954546928406,0.48135337233543396,0.6031078100204468,-0.26009878516197205,-1.3809585571289062,1.1228792667388916
1772727583161610500,0.314610595703125,-0.4824002683162689,-0.4296168088912964,0.47913089394569397,0.5942667126655579,-0.2744385898113251,-1.391433596611023,1.1341476440429688
1772727583171610400,0.3246103515625,-0.4880516827106476,-0.4384698271751404,0.47627490758895874,0.5854160785675049,-0.29110050201416016,-1.401063084602356,1.143933892250061
1772727583181610500,0.334610595703125,-0.4935862421989441,-0.44699880480766296,0.4728637933731079,0.5770307779312134,-0.3099822700023651,-1.4092442989349365,1.1510915756225586
1772727583191610400,0.3446103515625,-0.4985679090023041,-0.45540907979011536,0.4693659245967865,0.5689712166786194,-0.3342020511627197,-1.4171267747879028,1.1519591808319092
1772727583201610500,0.354610595703125,-0.5021731853485107,-0.46381866931915283,0.4660094380378723,0.5617201924324036,-0.37330344319343567,-1.4248480796813965,1.1355808973312378
1772727583211610400,0.3646103515625,-0.503801703453064,-0.471721351146698,0.4632408022880554,0.5559412837028503,-0.4303494989871979,-1.4319579601287842,1.096678376197815
1772727583221610500,0.374610595703125,-0.5033513307571411,-0.47836557030677795,0.46069177985191345,0.5527810454368591,-0.5045404434204102,-1.4357513189315796,1.0344258546829224
1772727583231610400,0.3846103515625,-0.5030307769775391,-0.48472461104393005,0.45687639713287354,0.5506960153579712,-0.5827674865722656,-1.435510277748108,0.9681670665740967
1772727583241610500,0.394610595703125,-0.502167820930481,-0.4901942312717438,0.4528171420097351,0.5499942898750305,-0.6575648188591003,-1.4322166442871094,0.9027572870254517
1772727583251610400,0.4046103515625,-0.5014750361442566,-0.49494025111198425,0.448596715927124,0.5498344302177429,-0.7199280858039856,-1.4272030591964722,0.8488472104072571
1772727583261610500,0.414610595703125,-0.5002384781837463,-0.49818798899650574,0.4454880952835083,0.5505547523498535,-0.7670794129371643,-1.4220443964004517,0.8061067461967468
1772727583271610400,0.4246103515625,-0.4987005889415741,-0.5000354051589966,0.44299542903900146,0.552283763885498,-0.7993447780609131,-1.4160734415054321,0.7749185562133789
1772727583281610500,0.434610595703125,-0.4974548816680908,-0.5008624196052551,0.440426766872406,0.554706871509552,-0.8168037533760071,-1.4089314937591553,0.7571866512298584
1772727583291610400,0.4446103515625,-0.49634262919425964,-0.5006116032600403,0.437842458486557,0.5579659342765808,-0.8214964270591736,-1.400603175163269,0.7504497766494751
1772727583301610500,0.454610595703125,-0.49651387333869934,-0.500158965587616,0.4338532090187073,0.5613255500793457,-0.8147356510162354,-1.3902043104171753,0.7575609683990479
