time,seconds_elapsed,z,y,x
1773075334209016300,0.121016357421875,-1.2003493309020996,-1.2400555610656738,-0.0873536616563797
1773075334227780000,0.139780029296875,-0.8643736839294434,-1.2107340097427368,-0.4013381600379944
1773075334246542300,0.158542236328125,-0.7312051653862,-0.30482152104377747,-0.6352993845939636
1773075334265304800,0.177304931640625,-0.9272927641868591,0.17531819641590118,-0.2370155304670334
1773075334284067300,0.1960673828125,-1.1227694749832153,-0.24862197041511536,0.235793799161911
1773075334302829600,0.21482958984375,-0.850934624671936,-0.6982184648513794,0.3127627670764923
1773075334321591800,0.233591796875,-0.24312418699264526,-0.379347026348114,0.36224281787872314
1773075334340354300,0.252354248046875,0.15271618962287903,-0.19181154668331146,0.6487383842468262
1773075334359116800,0.27111669921875,0.2559523284435272,0.4831940531730652,1.0115920305252075
1773075334377879000,0.289879150390625,0.059864748269319534,0.6560688018798828,0.7953459620475769
1773075334396641500,0.3086416015625,-0.2009745091199875,0.5674933791160583,0.3909534513950348
1773075334415403800,0.32740380859375,-0.23884813487529755,0.11362084746360779,-0.12644900381565094
1773075334434166300,0.346166259765625,-0.30115634202957153,-0.09407317638397217,-0.667064368724823
1773075334452928800,0.3649287109375,-0.2822195291519165,-0.05192350596189499,-0.9291253089904785
1773075334471691000,0.38369091796875,-0.3194822669029236,-0.22357651591300964,-0.9297361969947815
1773075334490453500,0.40245361328125,-0.44409868121147156,-0.40317076444625854,-0.7953459620475769
1773075334509215700,0.4212158203125,-0.4508182108402252,-0.5204567909240723,-0.6407971382141113
1773075334527978200,0.439978271484375,-0.06963858753442764,-0.4257727563381195,-0.544891357421875
1773075334546740700,0.45874072265625,0.21868959069252014,-0.13133592903614044,-0.4324922561645508
1773075334565503200,0.477503173828125,0.03298669680953026,-0.10751219838857651,-0.39400777220726013
1773075334584265500,0.496265380859375,-0.17165300250053406,-0.2974911332130432,-0.5516108870506287
1773075334603028000,0.515028076171875,-0.23884813487529755,-0.40744680166244507,-0.7922916412353516
1773075334621790500,0.53379052734375,-0.0054977829568088055,-0.2205221801996231,-0.8753692507743835
1773075334640552700,0.552552734375,0.06414080411195755,-0.031154103577136993,-0.7263182401657104
1773075334659315200,0.571315185546875,-0.22296564280986786,0.06597339361906052,-0.5155698657035828
1773075334678077700,0.59007763671875,-0.3756818473339081,-0.11239911615848541,-0.42821621894836426
1773075334696840200,0.608840087890625,-0.36835145950317383,-0.17226386070251465,-0.44409868121147156
1773075334715602400,0.6276025390625,-0.3292561173439026,-0.1637117564678192,-0.500298261642456
1773075334734365000,0.646364990234375,-0.2528980076313019,-0.05803215503692627,-0.47464191913604736
