time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1772698643985621200,0.086621337890625,-0.17307524383068085,-0.023884367197752,0.3138265311717987,0.9332670569419861,0.0797053724527359,-0.6360661387443542,0.3929874897003174
1772698643995621000,0.09662109375,-0.16710318624973297,-0.02328241802752018,0.3085251450538635,0.9361339211463928,0.07348177582025528,-0.6254015564918518,0.377052903175354
1772698644005621200,0.106621337890625,-0.12119518965482712,-0.0293133407831192,0.30384117364883423,0.9445279240608215,0.022455276921391487,-0.6200529336929321,0.2624253034591675
1772698644015621000,0.11662109375,-0.11140656471252441,-0.03244610130786896,0.29908740520477295,0.9471444487571716,0.006322731263935566,-0.611122727394104,0.23616573214530945
1772698644025621200,0.126621337890625,-0.10835347324609756,-0.034751493483781815,0.2975614666938782,0.9478971362113953,-0.0017038995865732431,-0.6085107922554016,0.2270955592393875
1772698644035621000,0.13662109375,-0.10083562135696411,-0.036130405962467194,0.2998947501182556,0.9479398131370544,-0.009808373637497425,-0.6136444807052612,0.20884226262569427
1772698644045621200,0.146621337890625,-0.0948726162314415,-0.03804362565279007,0.30402225255966187,0.9471654295921326,-0.017702685669064522,-0.6225852966308594,0.1939675509929657
1772698644055621000,0.15662109375,-0.09493889659643173,-0.04164072871208191,0.3085991144180298,0.9455258846282959,-0.024991106241941452,-0.6328975558280945,0.19196251034736633
1772698644065621200,0.166621337890625,-0.09871365875005722,-0.04706090688705444,0.3133094012737274,0.9433335065841675,-0.03368459269404411,-0.6440032720565796,0.1972893923521042
1772698644075621000,0.17662109375,-0.09699512273073196,-0.052520234137773514,0.3191213607788086,0.9412731528282166,-0.04670986160635948,-0.6572589874267578,0.18943826854228973
1772698644085621200,0.186621337890625,-0.09356892853975296,-0.05854777619242668,0.3253409266471863,0.9391327500343323,-0.06272980570793152,-0.6713367104530334,0.17672030627727509
1772698644095621000,0.19662109375,-0.08899904787540436,-0.06265311688184738,0.3300303518772125,0.9376746416091919,-0.07573118060827255,-0.6816489100456238,0.16239188611507416
1772698644105621200,0.206621337890625,-0.08762476593255997,-0.06604710966348648,0.3320208489894867,0.9368681311607361,-0.08486106991767883,-0.6863194108009338,0.15617991983890533
1772698644115621000,0.21662109375,-0.08776118606328964,-0.06975890696048737,0.3331483006477356,0.9361858367919922,-0.0936216339468956,-0.6893317699432373,0.15330924093723297
1772698644125621200,0.226621337890625,-0.08711317926645279,-0.07448406517505646,0.33292970061302185,0.935960054397583,-0.10573168098926544,-0.6895562410354614,0.14761105179786682
1772698644135621000,0.23662109375,-0.08146292716264725,-0.07872001826763153,0.3311156630516052,0.9367653727531433,-0.12114443629980087,-0.6856560111045837,0.13020209968090057
1772698644145621200,0.246621337890625,-0.07156892120838165,-0.08188251405954361,0.32730796933174133,0.9386386871337891,-0.13749539852142334,-0.6766290664672852,0.10375714302062988
